id,name,jenis,rayon_code,korlap,gps_lat,gps_lng
95265eae-8c36-5d60-b8d9-69a3cd1e98e4,Akses Masuk Tol Satelit Jalur Tepi,street,BARAT1,,-7.28868479,112.70543699
1875444c-37e5-5735-97a4-cd276fbb5c89,Akses Pintu Masuk Dan Parkiran TMP,street,BARAT1,,-7.28897560,112.70841459
1b13d53c-7ccb-5b2e-b573-ad74d1dc2ac5,Akses Pintu Masuk Dan Parkiran TMP,street,BARAT1,,-7.28914213,112.70854728
86919a01-cb8a-53e6-a618-730a77bcad35,Akses Pintu Masuk Dan Parkiran TMP,street,BARAT1,,-7.28899078,112.70815690
def44eb5-82eb-51d3-91a6-25b9aa1121e8,Bosem Depan TVRI,street,BARAT1,,-7.29029764,112.71383028
be3e8ca7-b27d-5603-a362-33a80c956c59,Bundaran Lotte Mart,street,BARAT1,,-7.28787500,112.67788805
68892852-77b7-513f-9ab2-393a392a03f3,Jalur Tepi Depan TVRI,street,BARAT1,,-7.29036554,112.71427325
38269650-c81f-5807-9dee-3a2d096b79b8,Jl. Banyu Urip Atas (TL Banyu Urip - Holland Bakery),street,BARAT1,,-7.27274471,112.72407678
0b211704-0c3e-5cd8-a160-65f76fddcbaf,Jl. Banyu Urip Bawah (Holland Bakery - Indomaret),street,BARAT1,,-7.27029545,112.71957161
f1abdc30-725d-57e3-9ed7-49270cf6c894,Jl. Bintang Diponggo 1,street,BARAT1,,-7.29084153,112.71895044
8cb08cfe-720b-5bfa-bce1-690b9960e9f8,Jl. Bintang Diponggo 2,street,BARAT1,,-7.29020245,112.71902356
0fb5ee56-b9b2-595f-adbb-dc916cd23a1f,Jl. Bintang Diponggo 3,street,BARAT1,,-7.28937907,112.71920824
34ba01c0-1996-5ffa-899f-717b3af6a637,Jl. Bintang Diponggo 4,street,BARAT1,,-7.28854615,112.71958892
15c204a0-a15b-5711-9773-0096037661ce,Jl. Bintang Diponggo 5,street,BARAT1,,-7.28636886,112.72012519
3588850b-3409-508f-9035-25260632ac11,Jl. Darmo Baru Barat,street,BARAT1,,-7.28489741,112.70130953
376bf67c-b08b-5a86-b839-b1d9a7689415,Jl. Darmo Baru Barat,street,BARAT1,,-7.28379180,112.70038524
509e8ca1-d451-593a-9683-2ac28ad16205,Jl. Darmo Baru Barat,street,BARAT1,,-7.28146548,112.69846143
5c84cf75-09f8-5242-89b2-1a102781b3c6,Jl. Darmo Baru Barat,street,BARAT1,,-7.28408067,112.70062816
6606406d-a02e-5fde-bf04-d4c1a6880dd0,Jl. Darmo Baru Barat,street,BARAT1,,-7.28438892,112.70088695
80f23662-5ac5-5db1-9d55-4fab11e6758a,Jl. Darmo Baru Barat,street,BARAT1,,-7.27950939,112.69684697
d97793a1-e34e-5f91-af70-b23f239579b0,Jl. Darmo Baru Barat,street,BARAT1,,-7.28593805,112.70210079
e3c88d84-ae58-5904-8b07-89e0a1c67f8e,Jl. Darmo Baru Barat,street,BARAT1,,-7.28298303,112.69971833
788bbdd0-c8a0-57e4-9d7c-e27faf3321b8,Jl. Darmo Harapan,street,BARAT1,,-7.27294285,112.68955717
44b93f46-bb3d-58bc-8ed1-9fde1310ee73,Jl. Darmo Permai - Bosem,street,BARAT1,,-7.27598895,112.69100945
c2381e77-b922-5a8d-a9d0-b3488450bc3f,Jl. Darmo Permai - Pasar Modern,street,BARAT1,,-7.27787603,112.69091264
8a5bf8d2-9351-54ab-8746-dc9dbf69f522,JL. DARMO SATELIT INDAH,street,BARAT1,,-7.26595993,112.69371470
