name,id
Taman 10 Nopember,80a29989-f5cf-55bd-9386-86338b413bfc
Taman Apsari,6f6dcac2-f769-5f5e-81cf-ab4bdd986200
Taman Asreboyo,3cef4b40-c241-5161-84f1-2bd5f7eac84b
Taman Balas Klumprik,ea71ed4a-9713-5ff5-a0bd-cd44f82af189
Taman Bmx,a9187194-685b-5e1f-9b49-b90c24fb8fac
Taman Buah,301ecafb-539b-59e8-a1e7-229173b74ca2
Taman Bulak,d766d9f3-7ea7-5929-8f23-82e8c8ec891b
Taman Bungkul,e9e39b25-5194-54bd-b761-192d01a95a4d
Taman Cahaya,1c19ef81-4079-51f2-8ae1-0d66404a9d8c
Taman Ekspresi,022f4bde-0375-5c46-86d3-9bb8dff8e364
Taman Flora,0419bffb-92a5-537c-adb8-5ee3afe768a9
Taman Harmoni,349a5227-a0c1-5c17-86a8-be5513bf67b2
Taman Insenerator,ae914f5a-eb31-58c8-b56a-4708b3efae18
Taman Jangkar,74e7fb67-ba5d-58b1-9f3c-845ba7c61d91
Taman KB. Wonorejo,62d2b42f-c654-57e9-8aa8-c0e000876a0a
Taman Kali Kedinding,7922da97-8fa3-515f-b55e-7a0e2aa06328
Taman Kalongan,116c3173-e675-550e-a668-da82842ee8ff
Taman Kartika,039f0528-ae38-50b5-a5be-238c0bdf64a0
Taman Keputran,5b75b98f-aab0-5f62-9430-1de696804f33
Taman Kombes,87a5eda8-e996-5a50-a08f-64cf6a73f9ce
Taman Korea,9aed4b06-8cdd-5dfa-9002-6915cacb57f2
Taman Krembangan,3a72c373-a8f6-561d-beab-4e3babb1b1cf
Taman Kunang2,1e37da7b-c5dd-54a3-8a5e-2b121989b980
Taman Lansia,1a1d6aac-94bb-557a-ae79-9e4b0ce3dc2c
Taman Lesti,07b9975d-33ea-5a02-a970-2c95ccf3ecfc
Taman Lumumba,a9b86ddc-e068-5996-86b2-121953736497
Taman Mayangkara,4adca40e-edca-576a-842e-5d1df1ffd76b
Taman Mozaik,55bbb2b5-b783-52cf-ba65-b476d82a7c46
Taman Nginden Intan,8150ab5c-dfe2-5e58-bc8b-46fa166a2558
Taman PUPR,50854ea1-3be1-54f4-94c5-40aca99f157d
Taman Pakal,4a562668-2ea5-5f51-b8ec-0cc06f8c8875
Taman Paliatif,c80662ef-2c85-55b5-a1fd-94b69b7f5741
Taman Pandugo,3b2128cd-407c-53bd-b708-1f99d2c59243
Taman Pelangi,7e40708a-d3be-54e7-a283-ca4ccd0bd607
Taman Persahabatan,76795a68-892f-5950-99a3-2e3a3c184b6e
Taman Prestasi,bc1f3164-f11a-5588-b803-515a29991e97
Taman Ronggolawe,187cfd3f-3e78-5ada-ba5b-9e9cf1e83100
Taman Sejarah,f45c2f1d-2f3d-5c27-88bf-c35653d804c4
Taman Suroboyo,7bdc272b-1b63-5453-9158-890f1663ca1a
Taman Tais,1b57ca1a-fdb6-5101-8e69-3880d57be92c
Taman Teratai,7cf883b8-674d-5bd9-9baa-4fab336577d0
Taman Wirasurya,e5f90bd9-a1f4-54e7-b10c-67fa32ca03e7
